plot_code,Rflux_MgC_ha_mo,sub_plot,collar_number,replica,day,month,year,collection_date,measurement_code,Comment
ACJ-01,0.630278836,1,NA,1,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.761536039,1,NA,1,15,3,2014,15/03/14,TOTAL,
ACJ-01,0.60664248,1,NA,1,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.649899665,1,NA,1,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.233378134,1,NA,1,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.515499081,1,NA,1,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.362841251,1,NA,1,26,8,2013,26/08/13,TOTAL,
ACJ-01,1.618985092,1,NA,1,28,5,2013,28/05/13,TOTAL,
ACJ-01,0.570993733,1,NA,1,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.684468783,1,NA,1,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.400799744,1,NA,1,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.663083971,1,NA,2,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.857421036,1,NA,2,15,3,2014,15/03/14,TOTAL,
ACJ-01,0.649925475,1,NA,2,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.719103603,1,NA,2,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.228513274,1,NA,2,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.473730991,1,NA,2,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.340307041,1,NA,2,26,8,2013,26/08/13,TOTAL,
ACJ-01,1.663667844,1,NA,2,28,5,2013,28/05/13,TOTAL,
ACJ-01,0.566109947,1,NA,2,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.710974544,1,NA,2,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.348428608,1,NA,2,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.143085063,10,NA,1,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.94816208,10,NA,1,13,3,2014,13/03/14,TOTAL,
ACJ-01,0.667312437,10,NA,1,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.574309678,10,NA,1,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.291807584,10,NA,1,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.598833938,10,NA,1,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.440763213,10,NA,1,26,8,2013,26/08/13,TOTAL,
ACJ-01,0.098981786,10,NA,1,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.447756526,10,NA,1,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.876425258,10,NA,1,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.321013588,10,NA,1,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.34418097,10,NA,2,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.96326421,10,NA,2,13,3,2014,13/03/14,TOTAL,
ACJ-01,0.730174557,10,NA,2,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.603797172,10,NA,2,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.345961461,10,NA,2,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.627273691,10,NA,2,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.509179526,10,NA,2,26,8,2013,26/08/13,TOTAL,
ACJ-01,0.153359122,10,NA,2,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.55728122,10,NA,2,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.693120629,10,NA,2,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.314334372,10,NA,2,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.613294135,11,NA,1,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.805299989,11,NA,1,13,3,2014,13/03/14,TOTAL,
ACJ-01,0.938729567,11,NA,1,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.523090397,11,NA,1,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.169829903,11,NA,1,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.54194172,11,NA,1,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.544271077,11,NA,1,26,8,2013,26/08/13,TOTAL,
ACJ-01,0.911992133,11,NA,1,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.288655251,11,NA,1,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.628485304,11,NA,1,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.322682226,11,NA,1,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.496115313,11,NA,2,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.841469951,11,NA,2,13,3,2014,13/03/14,TOTAL,
ACJ-01,1.009432489,11,NA,2,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.56355253,11,NA,2,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.482381728,11,NA,2,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.572529606,11,NA,2,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.504520942,11,NA,2,26,8,2013,26/08/13,TOTAL,
ACJ-01,0.829579424,11,NA,2,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.829292862,11,NA,2,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.70748462,11,NA,2,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.382993217,11,NA,2,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.233215453,12,NA,1,12,1,2014,12/01/14,TOTAL,
ACJ-01,1.0031008,12,NA,1,13,3,2014,13/03/14,TOTAL,
ACJ-01,0.38466547,12,NA,1,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.596498655,12,NA,1,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.19984862,12,NA,1,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.549212655,12,NA,1,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.518657975,12,NA,1,26,8,2013,26/08/13,TOTAL,
ACJ-01,1.173844512,12,NA,1,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.213413487,12,NA,1,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.777462882,12,NA,1,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.376202856,12,NA,1,9,2,2014,09/02/14,TOTAL,
ACJ-01,0.270999675,12,NA,2,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.933808577,12,NA,2,13,3,2014,13/03/14,TOTAL,
ACJ-01,0.413866533,12,NA,2,19,10,2013,19/10/13,TOTAL,
ACJ-01,0.597845982,12,NA,2,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.153767619,12,NA,2,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.629376077,12,NA,2,24,9,2013,24/09/13,TOTAL,
ACJ-01,0.482686735,12,NA,2,26,8,2013,26/08/13,TOTAL,
ACJ-01,1.140846731,12,NA,2,29,4,2014,29/04/14,TOTAL,
ACJ-01,0.198708099,12,NA,2,29,5,2013,29/05/13,TOTAL,
ACJ-01,0.811962028,12,NA,2,9,12,2013,09/12/13,TOTAL,
ACJ-01,0.79409296,13,NA,1,10,12,2013,10/12/13,TOTAL,
ACJ-01,0.40218365,13,NA,1,12,1,2014,12/01/14,TOTAL,
ACJ-01,0.291162036,13,NA,1,15,3,2014,15/03/14,TOTAL,
ACJ-01,0.482177409,13,NA,1,20,10,2013,20/10/13,TOTAL,
ACJ-01,0.427422651,13,NA,1,20,11,2013,20/11/13,TOTAL,
ACJ-01,0.271535276,13,NA,1,22,6,2013,22/06/13,TOTAL,
ACJ-01,0.447422119,13,NA,1,25,9,2013,25/09/13,TOTAL,
